title,company,location,link
통계/빅데이터컨설팅/경영컨설팅 부문 컨설턴트 모집,세종경영자문(주),서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40179010&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
웹 크롤러 개발자 모집,(주)텐스페이스,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40266476&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
"경력- 소프트웨어 개발 (머신비젼, 자동화, C++, C#, AI 딥러닝,",(주)에이아이엠,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40265318&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
"(신입, 경력) 머지플러스 사업 전략 기획팀 모집",머지플러스(주),서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40274543&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[헤일로에이트] 빅데이터/AI 기반 데이터 분석가,(주)헤일로에이트,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40273643&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
인공지능 연구/개발자 채용,(주)소이넷,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40280867&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
웹 or 앱 개발자 모집 신입&경력1년이상,로컬플랫폼랩,부산,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40176037&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
송파구 위치 대기업 계열 인터넷 쇼핑몰 PMO 차-부장급,한스컨설팅,서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40253279&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
[경력무관] Data Scientist 채용합니다.,크레파스솔루션(주),서울,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40267076&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
인공지능 개발자(컴퓨터비전/영상처리) 채용,스마트선박벤처기술,부산,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40131476&recommend_ids=eJxVzrsBwzAIBNBp0oPgDlRnEO%2B%2FRXCCJaV8fA5cRgSpFyZe8fYvwT%2B6n%2FTAJjNNFnWwCkXvYU07dlNMcLIGFgWaqRdldPKg2HHo4dXZVJM4%2Bg%2B7L6QjOs7mVFjWo9QfrWSbgFg2a9fdfG4qFXNHeSjHelSQAbn5AYMwR6w%3D&view_type=search&searchword=PYTHON&searchType=default_mysearch&gz=1&t_ref_content=generic&t_ref=search&paid_fl=n#seq=0
